
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:96:E5:F9:07:99, 2024-03-18 23:30:54, 2024-03-18 23:31:18, -78,       16, 18:35:D1:8C:AE:D9,
E2:0B:7B:F3:E8:B2, 2024-03-18 23:30:54, 2024-03-18 23:31:19, -74,       16, F8:5B:3B:E4:49:AF,
60:FB:00:3C:09:0B, 2024-03-18 23:30:54, 2024-03-18 23:30:58, -80,        2, F4:69:42:99:11:9F,
7A:29:AC:07:50:1E, 2024-03-18 23:30:59, 2024-03-18 23:31:04, -38,        3, E4:57:40:FF:0B:E1,
20:4E:F6:0E:45:AF, 2024-03-18 23:30:59, 2024-03-18 23:31:17, -78,       11, 40:0D:10:CE:82:B9,
C2:D7:5A:21:64:5E, 2024-03-18 23:31:00, 2024-03-18 23:31:16, -26,        5, E4:57:40:FF:0B:E1,
E4:75:DC:C8:C5:6E, 2024-03-18 23:31:00, 2024-03-18 23:31:00, -78,        4, FE:12:63:CB:C4:EF,
CE:AA:90:FE:11:7A, 2024-03-18 23:31:05, 2024-03-18 23:31:05, -38,        4, E4:57:40:FF:0B:E1,
EA:B0:C9:63:DF:73, 2024-03-18 23:31:05, 2024-03-18 23:31:05, -64,        2, E4:57:40:FF:0B:E1,
48:D3:43:BC:7F:89, 2024-03-18 23:31:05, 2024-03-18 23:31:05, -56,        1, (not associated) ,
4E:32:8E:DE:AB:31, 2024-03-18 23:31:11, 2024-03-18 23:31:17, -52,       13, E4:57:40:FF:0B:E1,
42:75:E3:FC:C2:7E, 2024-03-18 23:31:16, 2024-03-18 23:31:16, -50,        1, E4:57:40:FF:0B:E1,
C2:5B:C6:B8:C5:51, 2024-03-18 23:31:17, 2024-03-18 23:31:17, -80,        1, 60:32:B1:EE:FA:38,
46:D5:0D:9E:B4:4D, 2024-03-18 23:31:18, 2024-03-18 23:31:18, -78,        1, (not associated) ,
DC:F5:05:5B:90:CD, 2024-03-18 23:31:20, 2024-03-18 23:31:20, -50,        1, E4:57:40:FF:0B:E1,

